,Total Rows,Missing Count,Missing Percentage
home_pitching_playerrating,3034,47,1.5491100856954514
home_pitching_inheritedrunnersscored,3034,47,1.5491100856954514
home_pitching_inheritedrunners,3034,47,1.5491100856954514
home_pitching_qualitystarts,3034,47,1.5491100856954514
home_pitching_avggamescore,3034,47,1.5491100856954514
home_pitching_gamesstarted,3034,47,1.5491100856954514
home_pitching_pitchesasstarter,3034,47,1.5491100856954514
home_pitching_catcherinterference,3034,47,1.5491100856954514
home_pitching_runsupport,3034,47,1.5491100856954514
home_pitching_pitches,3034,47,1.5491100856954514
home_pitching_pickoffattempts,3034,47,1.5491100856954514
home_pitching_shutouts,3034,47,1.5491100856954514
home_pitching_teamearnedruns,3034,47,1.5491100856954514
home_pitching_opponentslugavg,3034,47,1.5491100856954514
home_pitching_opponentavg,3034,47,1.5491100856954514
home_pitching_runsupportavg,3034,47,1.5491100856954514
home_pitching_pitchesperplateappearance,3034,47,1.5491100856954514
home_pitching_pitchesperinning,3034,47,1.5491100856954514
home_pitching_pitchesperstart,3034,47,1.5491100856954514
home_pitching_groundtoflyratio,3034,47,1.5491100856954514
home_pitching_caughtstealingpct,3034,47,1.5491100856954514
home_pitching_winpct,3034,47,1.5491100856954514
home_pitching_whip,3034,47,1.5491100856954514
home_pitching_era,3034,47,1.5491100856954514
home_pitching_innings,3034,47,1.5491100856954514
home_pitching_blownsaves,3034,47,1.5491100856954514
home_pitching_partinnings,3034,47,1.5491100856954514
home_pitching_fullinnings,3034,47,1.5491100856954514
home_pitching_isqualifiedsaves,3034,47,1.5491100856954514
home_fielding_doubleplays,3034,47,1.5491100856954514
home_fielding_teamgamesplayed,3034,47,1.5491100856954514
home_fielding_gamesplayed,3034,47,1.5491100856954514
home_pitching_warbr,3034,47,1.5491100856954514
home_pitching_strikepitchratio,3034,47,1.5491100856954514
home_pitching_strikes,3034,47,1.5491100856954514
home_pitching_pitchcount,3034,47,1.5491100856954514
home_pitching_bipa,3034,47,1.5491100856954514
home_pitching_saveopportunitiesperwin,3034,47,1.5491100856954514
home_pitching_cheapwins,3034,47,1.5491100856954514
home_pitching_toughlosses,3034,47,1.5491100856954514
home_pitching_strikeouttowalkratio,3034,47,1.5491100856954514
home_pitching_strikeoutspernineinnings,3034,47,1.5491100856954514
home_pitching_savepct,3034,47,1.5491100856954514
home_pitching_opponentops,3034,47,1.5491100856954514
home_pitching_opponentonbasepct,3034,47,1.5491100856954514
away_batting_groundballs,3034,47,1.5491100856954514
home_fielding_catcherera,3034,47,1.5491100856954514
home_fielding_catchercaughtstealingpct,3034,47,1.5491100856954514
home_fielding_zonerating,3034,47,1.5491100856954514
home_fielding_rangefactor,3034,47,1.5491100856954514
home_fielding_fieldingpct,3034,47,1.5491100856954514
home_fielding_partinningsplayed,3034,47,1.5491100856954514
home_fielding_fullinningsplayed,3034,47,1.5491100856954514
home_fielding_totalchances,3034,47,1.5491100856954514
home_fielding_successfulchances,3034,47,1.5491100856954514
home_fielding_isqualifiedpitcher,3034,47,1.5491100856954514
home_fielding_isqualifiedcatcher,3034,47,1.5491100856954514
home_fielding_isqualified,3034,47,1.5491100856954514
home_fielding_catcherearnedruns,3034,47,1.5491100856954514
